TS = 256446830, TJ = 26368310
TS = 254622678, TJ = 26258803
TS = 811109, TJ = 745809
TS = 811716, TJ = 748063
TS = 27447094, TJ = 27356839
TS = 636570, TJ = 588964
TS = 602262, TJ = 564138
TS = 629572, TJ = 598115
TS = 693721, TJ = 653929
TS = 679260, TJ = 643894
TS = 671977, TJ = 624233
TS = 655185, TJ = 607037
TS = 644521, TJ = 606310
TS = 549860, TJ = 516005
TS = 613224, TJ = 579460
TS = 6323087, TJ = 1933071
TS = 1089223, TJ = 1043228
TS = 25444395, TJ = 1138484
TS = 3666521, TJ = 3518434
TS = 5102578, TJ = 4977208
TS = 10006383, TJ = 5216069
TS = 1826878, TJ = 1767479
TS = 775961, TJ = 738471
TS = 895023, TJ = 834958
TS = 667375, TJ = 634638
TS = 601578, TJ = 567434
TS = 1808781, TJ = 1772694
TS = 1578494, TJ = 1545464
TS = 650282, TJ = 614558
TS = 2188861, TJ = 2062472
TS = 3257255, TJ = 1469720
TS = 1119599, TJ = 1081940
TS = 621681, TJ = 583825
TS = 707164, TJ = 667592
TS = 681075, TJ = 584237
TS = 622276, TJ = 590254
TS = 593922, TJ = 560124
TS = 2122430, TJ = 1962798
TS = 3972510, TJ = 2116096
TS = 800825, TJ = 776485
TS = 1837490, TJ = 1094081
TS = 657490, TJ = 620669
TS = 32333533, TJ = 23313930
TS = 27508609, TJ = 1960440
TS = 13875087, TJ = 13818341
TS = 1274534, TJ = 1034545
TS = 3969728, TJ = 2851240
TS = 7392751, TJ = 719177
TS = 1276419, TJ = 1243445
TS = 658893, TJ = 624092
TS = 606567, TJ = 571930
TS = 616361, TJ = 577353
TS = 41437250, TJ = 6664398
TS = 21288311, TJ = 2365634
TS = 37702443, TJ = 2784972
TS = 40148948, TJ = 5899004
TS = 12157829, TJ = 1477173
TS = 20558869, TJ = 1215523
TS = 37942694, TJ = 1767863
TS = 99804248, TJ = 8031635
TS = 1712179, TJ = 873988
TS = 3609511, TJ = 3250635
TS = 4985524, TJ = 936511
TS = 950378, TJ = 914211
TS = 1936470, TJ = 1000696
TS = 3570093, TJ = 2022379
TS = 2121680, TJ = 1166488
TS = 862284, TJ = 830165
TS = 5855256, TJ = 1159403
TS = 609339, TJ = 572534
TS = 11676115, TJ = 2962052
TS = 1770379, TJ = 1545401
TS = 3361943, TJ = 1903987
TS = 609086, TJ = 583396
TS = 1736354, TJ = 1165288
TS = 824634, TJ = 626298
TS = 102242061, TJ = 13180327
