TS = 924831, TJ = 812344
TS = 699902, TJ = 648030
TS = 27670208, TJ = 27508331
TS = 907330, TJ = 833045
TS = 719994, TJ = 603534
TS = 757479, TJ = 668010
TS = 698720, TJ = 637835
TS = 809968, TJ = 760592
TS = 633540, TJ = 571652
TS = 834731, TJ = 759224
TS = 724607, TJ = 672446
TS = 568941, TJ = 516890
TS = 28310904, TJ = 28130255
TS = 734143, TJ = 652228
TS = 26883247, TJ = 26743553
TS = 675643, TJ = 606306
TS = 674701, TJ = 619741
TS = 28894855, TJ = 28738829
TS = 800875, TJ = 702257
TS = 301382322, TJ = 26033154
TS = 27753168, TJ = 27264183
TS = 702105, TJ = 624880
TS = 660616, TJ = 608272
TS = 923677, TJ = 831370
TS = 554125, TJ = 503864
TS = 27185949, TJ = 27060656
TS = 792489, TJ = 712730
TS = 732817, TJ = 670055
TS = 793102, TJ = 719724
TS = 574970, TJ = 524466
TS = 576410, TJ = 525237
TS = 900268, TJ = 819241
TS = 730654, TJ = 668187
TS = 776501, TJ = 700341
TS = 687577, TJ = 615746
TS = 711754, TJ = 643175
TS = 630271, TJ = 581245
TS = 685141, TJ = 621827
TS = 668684, TJ = 602759
TS = 617209, TJ = 559405
TS = 635041, TJ = 579386
TS = 620173, TJ = 571732
TS = 628494, TJ = 582111
TS = 1717959, TJ = 1606480
TS = 4709401, TJ = 899074
TS = 592700, TJ = 540383
TS = 646289, TJ = 600165
TS = 27284950, TJ = 27079450
TS = 795571, TJ = 723957
TS = 611561, TJ = 566429
TS = 825577, TJ = 748885
TS = 664462, TJ = 620905
TS = 2038326, TJ = 1961915
TS = 965320, TJ = 874649
TS = 686283, TJ = 632386
TS = 663603, TJ = 605426
TS = 941681, TJ = 843651
TS = 643902, TJ = 582952
TS = 732887, TJ = 664831
TS = 691107, TJ = 622596
TS = 667748, TJ = 606929
TS = 766237, TJ = 687400
TS = 568208, TJ = 523283
TS = 27460597, TJ = 27310592
TS = 800052, TJ = 726701
TS = 813999, TJ = 739205
TS = 824030, TJ = 744442
TS = 779850, TJ = 716118
TS = 783952, TJ = 700374
TS = 27576282, TJ = 27427931
TS = 912058, TJ = 829843
TS = 286282722, TJ = 26302211
TS = 968791, TJ = 877168
TS = 973148, TJ = 856407
TS = 303393327, TJ = 27657534
TS = 933804, TJ = 838804
TS = 888884, TJ = 811632
TS = 1184251, TJ = 1086420
TS = 28158687, TJ = 27978966
TS = 27196291, TJ = 27058434
TS = 712956, TJ = 630207
TS = 617881, TJ = 570179
TS = 740131, TJ = 648902
TS = 697934, TJ = 644569
TS = 712627, TJ = 641616
