TS = 528158271, TJ = 25860616
TS = 6242745, TJ = 4739739
TS = 2373739, TJ = 868083
TS = 2148603, TJ = 854256
TS = 29163581, TJ = 27843952
TS = 2459140, TJ = 959014
TS = 29330397, TJ = 27987497
TS = 2658638, TJ = 1075600
TS = 2306424, TJ = 815520
TS = 2462482, TJ = 865272
TS = 2072531, TJ = 778915
TS = 1964525, TJ = 726290
TS = 1783801, TJ = 667358
TS = 2252481, TJ = 892346
TS = 53711832, TJ = 26431785
TS = 2198069, TJ = 755971
TS = 1991168, TJ = 769627
TS = 2075379, TJ = 894845
TS = 1780748, TJ = 672177
TS = 28135936, TJ = 26949021
TS = 2006416, TJ = 766828
TS = 1977337, TJ = 784416
TS = 7887168, TJ = 5500742
TS = 2474190, TJ = 832549
TS = 2178866, TJ = 854891
TS = 2236890, TJ = 837775
TS = 28603116, TJ = 27191460
TS = 2069261, TJ = 729710
TS = 1896739, TJ = 728328
TS = 2369399, TJ = 826914
TS = 2121619, TJ = 750763
TS = 2396334, TJ = 939266
TS = 1997777, TJ = 795812
TS = 1972935, TJ = 779043
TS = 2032596, TJ = 868854
TS = 28449001, TJ = 27216807
TS = 2099366, TJ = 775029
TS = 1969677, TJ = 761239
TS = 1863399, TJ = 717629
TS = 1983510, TJ = 729901
TS = 2221900, TJ = 810093
TS = 2530869, TJ = 917084
TS = 31391612, TJ = 27501798
TS = 2490524, TJ = 859231
TS = 2453756, TJ = 933714
TS = 2589327, TJ = 967676
TS = 2437703, TJ = 854563
TS = 2478477, TJ = 843303
TS = 29655647, TJ = 27990260
TS = 77835587, TJ = 26004958
TS = 2255433, TJ = 797359
TS = 2173620, TJ = 756044
TS = 1906774, TJ = 709890
TS = 2356057, TJ = 883737
TS = 2024232, TJ = 725403
TS = 2041745, TJ = 761929
TS = 55349074, TJ = 28412375
TS = 7051068, TJ = 862400
TS = 2190105, TJ = 777945
TS = 1986872, TJ = 699387
TS = 1979506, TJ = 733599
TS = 102070858, TJ = 25798690
TS = 23316450, TJ = 2471791
TS = 6144237, TJ = 803948
TS = 2440332, TJ = 859205
TS = 28316878, TJ = 27117575
TS = 2166474, TJ = 784580
TS = 1806569, TJ = 682579
TS = 2307784, TJ = 891042
TS = 28209721, TJ = 26980990
TS = 2346933, TJ = 837790
TS = 2415304, TJ = 892311
TS = 7444006, TJ = 3361650
TS = 29280386, TJ = 27556085
TS = 2315032, TJ = 818968
TS = 1999457, TJ = 832777
TS = 2011079, TJ = 790571
TS = 2907151, TJ = 1698171
TS = 1993310, TJ = 806976
TS = 2095819, TJ = 813990
TS = 2459841, TJ = 956074
TS = 28923052, TJ = 27630245
TS = 2237532, TJ = 829167
TS = 5887675, TJ = 4558824
TS = 38866022, TJ = 37465647
TS = 2422777, TJ = 946138
TS = 2475406, TJ = 868963
TS = 29151038, TJ = 27567422
TS = 2542175, TJ = 871040
TS = 8389410, TJ = 970671
TS = 2490991, TJ = 814725
TS = 2432429, TJ = 863329
TS = 29146309, TJ = 27527998
TS = 3704558, TJ = 863627
TS = 2532455, TJ = 859630
TS = 2050536, TJ = 796607
TS = 2267029, TJ = 869737
TS = 2096632, TJ = 764470
TS = 1995919, TJ = 785680
TS = 1968816, TJ = 767782
TS = 2903998, TJ = 1655155
TS = 2162382, TJ = 840486
TS = 2032820, TJ = 809845
TS = 2102404, TJ = 836401
TS = 2136481, TJ = 805214
TS = 2138597, TJ = 802687
TS = 2122069, TJ = 871741
TS = 2215468, TJ = 814380
TS = 2582782, TJ = 838354
TS = 2582786, TJ = 919017
TS = 2489800, TJ = 813453
TS = 2586798, TJ = 939826
TS = 57322300, TJ = 55942833
TS = 2289788, TJ = 779992
TS = 2274177, TJ = 865730
TS = 57708635, TJ = 56217967
TS = 112018708, TJ = 55637175
TS = 2419143, TJ = 798965
TS = 2427651, TJ = 895221
TS = 2472533, TJ = 820481
TS = 2472339, TJ = 872309
TS = 2568518, TJ = 946050
TS = 57307457, TJ = 55634005
TS = 3606274, TJ = 1954875
TS = 1969111, TJ = 727733
TS = 2030374, TJ = 801138
TS = 1907636, TJ = 690296
TS = 28433370, TJ = 27251549
TS = 28712055, TJ = 27331710
TS = 2502988, TJ = 915861
TS = 560957014, TJ = 27512167
TS = 2563906, TJ = 893571
TS = 2435556, TJ = 875931
TS = 2508946, TJ = 961320
TS = 2220347, TJ = 850090
TS = 2286193, TJ = 841645
TS = 313324817, TJ = 26778904
TS = 3235662, TJ = 1663713
TS = 7132063, TJ = 3542676
TS = 2543335, TJ = 904626
TS = 2424523, TJ = 821105
TS = 59877778, TJ = 58202071
TS = 3386421, TJ = 1819307
TS = 2372016, TJ = 828760
TS = 2520965, TJ = 1023376
TS = 2571889, TJ = 819492
TS = 3443246, TJ = 1836042
TS = 2468290, TJ = 865788
TS = 2213008, TJ = 886838
TS = 2368216, TJ = 829761
TS = 109928437, TJ = 27724458
TS = 8652882, TJ = 909048
TS = 2569033, TJ = 953398
TS = 2524259, TJ = 867860
TS = 2471414, TJ = 875630
TS = 2526976, TJ = 881795
TS = 28831191, TJ = 27258305
TS = 2383363, TJ = 795408
TS = 2003031, TJ = 748285
TS = 1886817, TJ = 680466
TS = 3833916, TJ = 781517
TS = 1944926, TJ = 763160
TS = 2333386, TJ = 910364
TS = 2061021, TJ = 783087
TS = 28566911, TJ = 27267594
TS = 28922284, TJ = 27425205
TS = 2349831, TJ = 801073
TS = 2070616, TJ = 761656
TS = 1987264, TJ = 724201
TS = 2170705, TJ = 779478
TS = 2150882, TJ = 809466
TS = 2012292, TJ = 707093
TS = 29559379, TJ = 28184649
TS = 2319863, TJ = 851938
TS = 2264602, TJ = 821204
TS = 2294682, TJ = 835651
TS = 2187819, TJ = 845803
TS = 2114403, TJ = 818323
TS = 28492556, TJ = 27126692
TS = 2330874, TJ = 865017
TS = 536963558, TJ = 26067694
TS = 2600328, TJ = 937608
TS = 2398314, TJ = 911463
TS = 2183462, TJ = 816124
TS = 2571278, TJ = 903528
TS = 29296309, TJ = 27646049
TS = 2363561, TJ = 864055
TS = 2098329, TJ = 730233
TS = 5568576, TJ = 764391
TS = 1922442, TJ = 754686
TS = 2220261, TJ = 800500
TS = 1865419, TJ = 670265
TS = 2109218, TJ = 827170
TS = 1898909, TJ = 704718
TS = 29472895, TJ = 27856421
TS = 2549268, TJ = 949737
TS = 2490975, TJ = 845526
TS = 101911628, TJ = 100473764
TS = 28808205, TJ = 27296210
TS = 2116117, TJ = 760759
TS = 28632168, TJ = 27231771
TS = 28373711, TJ = 26897606
TS = 2323126, TJ = 823842
TS = 1846247, TJ = 745645
TS = 2277830, TJ = 791570
TS = 3684524, TJ = 2363128
TS = 2338406, TJ = 941028
TS = 54524781, TJ = 26936964
TS = 2445474, TJ = 892755
TS = 2249387, TJ = 825169
TS = 1873226, TJ = 711503
TS = 2082725, TJ = 782193
TS = 2035847, TJ = 737708
TS = 2348539, TJ = 1039666
TS = 3215287, TJ = 1748713
TS = 3287771, TJ = 1709946
TS = 2167252, TJ = 793587
TS = 2080316, TJ = 811909
TS = 28717333, TJ = 27449511
TS = 2344425, TJ = 798369
TS = 2120748, TJ = 778810
TS = 1959081, TJ = 743425
TS = 2038822, TJ = 716227
TS = 2159658, TJ = 881387
TS = 2544159, TJ = 851123
TS = 4110387, TJ = 891731
TS = 2525556, TJ = 917920
TS = 102834468, TJ = 25927404
TS = 2327906, TJ = 767397
TS = 2350975, TJ = 795478
TS = 2108766, TJ = 844696
TS = 2097841, TJ = 789353
TS = 2011632, TJ = 728275
TS = 2167295, TJ = 835827
TS = 2286974, TJ = 831147
TS = 79573488, TJ = 26541233
TS = 28936555, TJ = 27342449
TS = 2409238, TJ = 836651
TS = 2223357, TJ = 806377
TS = 2193049, TJ = 834138
TS = 303991263, TJ = 25923339
TS = 2482695, TJ = 850356
TS = 1976907, TJ = 727930
TS = 29338463, TJ = 27927210
TS = 2517436, TJ = 913426
TS = 2349208, TJ = 830480
TS = 557540269, TJ = 27269386
TS = 2607771, TJ = 924959
TS = 2532316, TJ = 876189
TS = 2557114, TJ = 880494
TS = 2659410, TJ = 897030
TS = 6090470, TJ = 867631
TS = 2416500, TJ = 839305
TS = 2390138, TJ = 809805
TS = 2455417, TJ = 817765
TS = 2107369, TJ = 780254
TS = 1945437, TJ = 683491
TS = 2176690, TJ = 845996
TS = 2088748, TJ = 743429
TS = 28989922, TJ = 27662202
TS = 2305632, TJ = 844794
TS = 28300636, TJ = 26929695
TS = 28282357, TJ = 26731863
TS = 2236422, TJ = 797984
TS = 23546286, TJ = 2508080
TS = 2385524, TJ = 854656
TS = 2401021, TJ = 866841
TS = 28994784, TJ = 27637358
TS = 2261440, TJ = 811355
TS = 2015532, TJ = 738713
TS = 2075120, TJ = 826704
TS = 2409498, TJ = 830297
TS = 2110611, TJ = 821972
TS = 2090831, TJ = 866514
TS = 1997910, TJ = 762880
TS = 2210971, TJ = 847422
TS = 2526399, TJ = 948344
TS = 2380380, TJ = 978160
TS = 2337902, TJ = 909167
TS = 109044656, TJ = 30834134
TS = 2477694, TJ = 914714
TS = 2223310, TJ = 805850
TS = 29366978, TJ = 27969976
TS = 2392772, TJ = 863221
TS = 2534685, TJ = 844658
TS = 1953108, TJ = 798708
TS = 28833136, TJ = 27535918
TS = 2384341, TJ = 856029
TS = 2474944, TJ = 815055
TS = 2460159, TJ = 827632
TS = 2538230, TJ = 900322
TS = 2391588, TJ = 888700
TS = 2238350, TJ = 828242
TS = 2444702, TJ = 855603
TS = 2413790, TJ = 914096
TS = 30015443, TJ = 28729687
TS = 2451019, TJ = 894095
TS = 2032267, TJ = 682612
TS = 2012090, TJ = 796973
TS = 2010399, TJ = 815352
TS = 2025697, TJ = 727727
TS = 2104401, TJ = 851391
TS = 28492902, TJ = 27289012
TS = 3201956, TJ = 1698186
TS = 2380635, TJ = 869258
TS = 1980308, TJ = 713741
TS = 1954697, TJ = 733513
TS = 1968968, TJ = 747692
TS = 1994449, TJ = 747290
TS = 1985847, TJ = 785021
TS = 1876606, TJ = 713528
TS = 2168150, TJ = 868825
TS = 2108406, TJ = 781571
TS = 2321464, TJ = 815494
TS = 2332294, TJ = 893529
TS = 2121256, TJ = 787809
TS = 2153595, TJ = 858829
TS = 2030559, TJ = 748106
TS = 2519742, TJ = 878298
TS = 2422813, TJ = 848693
TS = 28347511, TJ = 27145805
TS = 2133152, TJ = 801136
TS = 2211570, TJ = 798978
TS = 2358740, TJ = 797091
TS = 2445511, TJ = 859738
TS = 29597102, TJ = 27899406
TS = 2439084, TJ = 816422
TS = 2420583, TJ = 836414
TS = 29309520, TJ = 27641879
TS = 2501900, TJ = 907363
TS = 2527199, TJ = 860143
TS = 3360360, TJ = 1724711
TS = 2660763, TJ = 940639
TS = 2527299, TJ = 875035
TS = 2546446, TJ = 877147
TS = 26752734, TJ = 2270077
TS = 2462955, TJ = 870001
TS = 2473557, TJ = 896564
TS = 3317732, TJ = 1770893
TS = 2576899, TJ = 931619
TS = 302539676, TJ = 28337456
TS = 2356906, TJ = 839379
TS = 29536928, TJ = 28058159
TS = 2550859, TJ = 983740
TS = 29372422, TJ = 27715724
TS = 3293233, TJ = 1755592
TS = 2170969, TJ = 761960
TS = 3126569, TJ = 1731497
TS = 2574678, TJ = 858217
TS = 2286408, TJ = 823978
TS = 29026180, TJ = 27660608
TS = 2402365, TJ = 844324
TS = 2450448, TJ = 900482
TS = 314053101, TJ = 29530058
TS = 2626009, TJ = 926037
TS = 2238726, TJ = 799604
TS = 2048674, TJ = 797678
TS = 2124772, TJ = 808029
TS = 2443353, TJ = 830780
TS = 287081961, TJ = 30111128
TS = 2565750, TJ = 978054
TS = 1996059, TJ = 780303
TS = 2154967, TJ = 889049
TS = 2213279, TJ = 812388
TS = 2173918, TJ = 802870
TS = 1887263, TJ = 714922
TS = 1981384, TJ = 760734
TS = 1929278, TJ = 715608
TS = 2237208, TJ = 921369
TS = 2027360, TJ = 777672
TS = 2427546, TJ = 878305
TS = 2201636, TJ = 839646
TS = 2139790, TJ = 923252
TS = 2188603, TJ = 818669
TS = 1948065, TJ = 752259
TS = 1751297, TJ = 645556
TS = 28475759, TJ = 27244027
TS = 1986376, TJ = 738792
TS = 27489120, TJ = 26293954
TS = 2211280, TJ = 807467
TS = 2340304, TJ = 830231
TS = 1891957, TJ = 709571
TS = 28047773, TJ = 26867182
TS = 2379826, TJ = 835130
TS = 530612832, TJ = 25955433
TS = 2377856, TJ = 788715
TS = 2459146, TJ = 870197
TS = 31022101, TJ = 28565001
TS = 2478404, TJ = 885232
TS = 2491560, TJ = 869321
TS = 5164588, TJ = 1037870
TS = 2661534, TJ = 1017791
TS = 30233496, TJ = 28503620
TS = 3328109, TJ = 1712279
TS = 7035612, TJ = 5375520
TS = 2500804, TJ = 917728
TS = 61449085, TJ = 59674247
TS = 2543454, TJ = 886510
TS = 2433652, TJ = 852409
TS = 2548421, TJ = 842216
TS = 2420409, TJ = 844192
TS = 103968054, TJ = 2531403
TS = 2440233, TJ = 891953
TS = 2480704, TJ = 873234
TS = 2502020, TJ = 914635
TS = 29852818, TJ = 28202424
TS = 2437967, TJ = 897786
TS = 2423541, TJ = 867357
TS = 2485211, TJ = 930358
TS = 2518061, TJ = 911082
TS = 2541143, TJ = 919912
TS = 2483033, TJ = 878017
TS = 2480752, TJ = 886642
TS = 2490526, TJ = 909449
TS = 2412777, TJ = 875973
TS = 2408574, TJ = 868407
TS = 2406697, TJ = 837364
TS = 2470391, TJ = 915455
TS = 2578610, TJ = 887653
TS = 2461112, TJ = 903003
TS = 2352746, TJ = 837096
TS = 30973562, TJ = 29326897
TS = 2532353, TJ = 871677
TS = 2442232, TJ = 849073
TS = 30024273, TJ = 28417976
TS = 2529344, TJ = 899088
TS = 2659055, TJ = 965082
TS = 4019013, TJ = 2442007
TS = 31268966, TJ = 29550919
TS = 2511289, TJ = 921807
TS = 2349488, TJ = 804232
TS = 2414930, TJ = 813426
TS = 2519365, TJ = 947725
TS = 2431787, TJ = 859198
TS = 2448841, TJ = 852449
TS = 2406561, TJ = 844922
TS = 2491219, TJ = 860520
