TS = 2154303, TJ = 2086624
TS = 4504004, TJ = 453628
TS = 16154197, TJ = 1915471
TS = 19065156, TJ = 2230196
TS = 17675980, TJ = 2269605
TS = 17073642, TJ = 2386866
TS = 20029104, TJ = 3675003
TS = 18542023, TJ = 4391045
TS = 1876061, TJ = 1830655
TS = 11637252, TJ = 1279191
TS = 10769793, TJ = 1249416
TS = 12016460, TJ = 1529269
TS = 10733892, TJ = 1567376
TS = 11897717, TJ = 6851631
TS = 12666952, TJ = 1773260
TS = 11940165, TJ = 4413089
TS = 16976858, TJ = 4530002
TS = 18308219, TJ = 1360495
TS = 17478815, TJ = 1799763
TS = 16723523, TJ = 1650348
TS = 17046561, TJ = 1867633
TS = 18272472, TJ = 9140281
TS = 17697200, TJ = 2092502
TS = 17067110, TJ = 2411055
TS = 19510989, TJ = 3556071
TS = 17356055, TJ = 2149210
TS = 19747349, TJ = 1685156
TS = 21039050, TJ = 1823686
TS = 22428531, TJ = 2165909
TS = 23060585, TJ = 2284066
TS = 22340866, TJ = 2621694
TS = 19924154, TJ = 2812576
TS = 25091918, TJ = 3577128
TS = 13851496, TJ = 1782254
TS = 15881195, TJ = 3998501
TS = 16380534, TJ = 2065317
TS = 15795815, TJ = 8904704
TS = 17358177, TJ = 2317071
TS = 18248633, TJ = 2447191
TS = 15535888, TJ = 2892772
TS = 17503799, TJ = 2904967
TS = 18365440, TJ = 4694320
TS = 20658975, TJ = 3937378
TS = 64002263, TJ = 698320
TS = 60914848, TJ = 1033601
TS = 64119088, TJ = 1449831
TS = 81079286, TJ = 18869039
TS = 92220241, TJ = 54118443
TS = 117361704, TJ = 15115395
TS = 117167107, TJ = 9038216
TS = 122688166, TJ = 32386517
TS = 37083462, TJ = 379397
TS = 37642991, TJ = 6521511
TS = 37426330, TJ = 5253968
TS = 13730288, TJ = 457708
TS = 19180243, TJ = 2048011
TS = 5795571, TJ = 739588
TS = 5550593, TJ = 3722517
TS = 6055398, TJ = 1839351
TS = 7755781, TJ = 1822001
TS = 8410033, TJ = 253761
