TS = 38163770, TJ = 37001033
TS = 12160047, TJ = 11993833
TS = 12858411, TJ = 7925983
TS = 6673896, TJ = 4078071
TS = 12008175, TJ = 3221761
TS = 12846981, TJ = 1638016
TS = 12488936, TJ = 5427583
TS = 18582100, TJ = 9150147
TS = 17144643, TJ = 7384349
TS = 16678978, TJ = 6663078
TS = 17037642, TJ = 3381024
TS = 8186525, TJ = 5792736
TS = 10859813, TJ = 3688841
TS = 14685168, TJ = 12933641
TS = 72007232, TJ = 34050075
TS = 87129861, TJ = 52240085
TS = 78648524, TJ = 5104595
TS = 80156836, TJ = 26022900
TS = 3174159, TJ = 3078020
TS = 14004695, TJ = 935946
TS = 25005099, TJ = 1812889
TS = 24541302, TJ = 1819470
TS = 27401003, TJ = 8153075
TS = 16841025, TJ = 13291133
TS = 28706216, TJ = 3909379
TS = 14622678, TJ = 1262333
TS = 13933580, TJ = 1857334
TS = 16715284, TJ = 2343159
TS = 15822642, TJ = 3003863
TS = 15293627, TJ = 12195148
TS = 25826584, TJ = 6664080
TS = 3353624, TJ = 3253285
TS = 16850294, TJ = 1373258
TS = 17016305, TJ = 1707105
TS = 14340861, TJ = 1683045
TS = 16675570, TJ = 10084871
TS = 16126021, TJ = 2272339
TS = 17805674, TJ = 4763676
TS = 3173573, TJ = 3073175
TS = 20731524, TJ = 976994
TS = 9623400, TJ = 2180322
TS = 62586123, TJ = 2781481
TS = 62471583, TJ = 17294928
TS = 62015110, TJ = 2413083
TS = 63794698, TJ = 5110797
TS = 61649837, TJ = 2482385
TS = 10554049, TJ = 7453941
TS = 11618218, TJ = 4312876
TS = 54155015, TJ = 8569401
TS = 54831810, TJ = 18202525
TS = 48773446, TJ = 3287629
TS = 53271110, TJ = 7395063
TS = 48362036, TJ = 4849280
TS = 49300263, TJ = 10190040
TS = 12612400, TJ = 12486993
TS = 6750478, TJ = 6654331
TS = 60134516, TJ = 46721684
TS = 70105168, TJ = 47371959
TS = 71055855, TJ = 47016752
TS = 64425326, TJ = 47411586
TS = 69975645, TJ = 48706546
TS = 72395555, TJ = 52575989
TS = 3685331, TJ = 3526683
TS = 26138910, TJ = 2642622
TS = 32357555, TJ = 10998699
TS = 34823683, TJ = 23833622
TS = 34352643, TJ = 12763324
TS = 32432780, TJ = 12544207
TS = 34389698, TJ = 11627357
TS = 33913917, TJ = 12163223
TS = 5952071, TJ = 5854085
TS = 2864300, TJ = 2789596
TS = 19465942, TJ = 848743
TS = 25511325, TJ = 1333636
TS = 24914017, TJ = 2125420
TS = 24192518, TJ = 2449952
TS = 28360417, TJ = 2581827
TS = 24723048, TJ = 11754849
TS = 28391116, TJ = 4250921
TS = 27275217, TJ = 4908868
TS = 26794750, TJ = 5401033
TS = 30761479, TJ = 6393186
TS = 5530429, TJ = 1781207
TS = 16257023, TJ = 902999
TS = 20216791, TJ = 9158910
TS = 16005266, TJ = 1352916
TS = 18837704, TJ = 1530179
TS = 21445425, TJ = 2032409
TS = 19168512, TJ = 7029051
TS = 20634196, TJ = 2594016
TS = 20339004, TJ = 984930
TS = 24013399, TJ = 1156136
TS = 32153156, TJ = 2223202
TS = 134562776, TJ = 2955613
TS = 28168737, TJ = 4485683
TS = 29131766, TJ = 2874758
TS = 27994621, TJ = 4678263
TS = 3661941, TJ = 3520208
TS = 37933411, TJ = 4660547
TS = 12129277, TJ = 8894478
TS = 58496429, TJ = 14566281
TS = 56271329, TJ = 18942899
TS = 58322443, TJ = 29219344
TS = 61169071, TJ = 15426354
TS = 3593121, TJ = 3458817
TS = 9273884, TJ = 6410572
TS = 9695839, TJ = 684279
TS = 16405268, TJ = 1333577
TS = 16477319, TJ = 2482536
TS = 17826652, TJ = 13729317
TS = 55185431, TJ = 16481548
TS = 54930539, TJ = 11156364
TS = 56490379, TJ = 11234162
TS = 57473695, TJ = 13064920
TS = 12479223, TJ = 1294930
TS = 21886041, TJ = 2502511
TS = 14784356, TJ = 2881973
TS = 15621100, TJ = 2726747
TS = 16391341, TJ = 3384197
TS = 23316422, TJ = 11858614
TS = 22644703, TJ = 4018433
TS = 22596777, TJ = 6518506
TS = 25903521, TJ = 851683
TS = 27295570, TJ = 2772227
TS = 59413824, TJ = 37480107
TS = 81526102, TJ = 33825586
TS = 84379556, TJ = 34043800
TS = 110521757, TJ = 1687827
TS = 110166601, TJ = 3745858
TS = 109263431, TJ = 4064845
TS = 67502644, TJ = 36227609
TS = 76216385, TJ = 29829941
TS = 82117040, TJ = 14781259
TS = 117180069, TJ = 12524724
TS = 82583191, TJ = 9671610
TS = 32708763, TJ = 2270098
TS = 9516155, TJ = 497623
TS = 10728575, TJ = 9359585
TS = 14184151, TJ = 275648
TS = 4198870, TJ = 449909
TS = 5167502, TJ = 4403461
TS = 22782989, TJ = 2894662
TS = 24957758, TJ = 8204437
TS = 20486737, TJ = 4761295
TS = 26464211, TJ = 3237320
TS = 25687448, TJ = 3051825
TS = 3601539, TJ = 3430753
TS = 37910412, TJ = 7220456
TS = 41281046, TJ = 2521699
TS = 42369113, TJ = 3182224
TS = 43919682, TJ = 5005460
TS = 42795209, TJ = 4011121
TS = 45218361, TJ = 5794373
TS = 44366169, TJ = 6302975
TS = 22303542, TJ = 7150618
TS = 52794265, TJ = 3670428
TS = 37176127, TJ = 14604850
TS = 78975507, TJ = 31792340
