TS = 2526239, TJ = 1265463
TS = 2895744, TJ = 1409401
TS = 2303967, TJ = 972805
TS = 718522, TJ = 681484
TS = 632091, TJ = 596416
TS = 4930608, TJ = 4881024
TS = 632749, TJ = 596065
TS = 1576612, TJ = 1007795
TS = 57404473, TJ = 20581572
TS = 58647496, TJ = 1083028
TS = 53625994, TJ = 1269916
TS = 107557502, TJ = 29787481
TS = 101095020, TJ = 1334791
TS = 155495638, TJ = 11851311
TS = 150084326, TJ = 1242821
TS = 149789102, TJ = 926373
TS = 183359348, TJ = 14270804
TS = 176343511, TJ = 1119786
TS = 156958808, TJ = 26648446
TS = 459039498, TJ = 24549311
TS = 460557218, TJ = 1903702
TS = 406573648, TJ = 887637
TS = 387707768, TJ = 846672
TS = 355300211, TJ = 941919
TS = 352673665, TJ = 1111208
TS = 366504363, TJ = 27055398
TS = 338834749, TJ = 1123296
TS = 318030614, TJ = 1183545
TS = 312882628, TJ = 866633
TS = 1498373, TJ = 517576
TS = 2684669, TJ = 336137
TS = 3294136, TJ = 935508
TS = 3840247, TJ = 901144
TS = 2505497, TJ = 828639
TS = 5431524, TJ = 1047949
TS = 852850, TJ = 808925
TS = 1003046, TJ = 493121
TS = 1318569, TJ = 898585
TS = 506676, TJ = 474938
TS = 4274488, TJ = 780793
TS = 4809686, TJ = 913066
TS = 5353276, TJ = 850111
TS = 3072894, TJ = 845491
TS = 862939, TJ = 556036
TS = 1353432, TJ = 867395
TS = 1464574, TJ = 613493
TS = 608857, TJ = 575963
TS = 2530187, TJ = 822581
TS = 3208718, TJ = 992466
TS = 53251044, TJ = 9032895
TS = 54708500, TJ = 1794295
TS = 39992893, TJ = 998325
TS = 27353252, TJ = 838523
TS = 38713119, TJ = 11695128
TS = 23660225, TJ = 665741
TS = 1227558, TJ = 1172484
TS = 1044203, TJ = 564180
TS = 1544025, TJ = 877703
TS = 2055582, TJ = 811151
TS = 661850, TJ = 617377
TS = 54500242, TJ = 31629917
TS = 48013418, TJ = 1736389
TS = 48433405, TJ = 773046
TS = 35393494, TJ = 862539
TS = 34606214, TJ = 870622
TS = 53844772, TJ = 40216257
TS = 54263008, TJ = 893209
TS = 49614580, TJ = 1069157
TS = 50007151, TJ = 989222
TS = 43078555, TJ = 871100
TS = 714103, TJ = 660757
TS = 333813144, TJ = 24414008
TS = 330059092, TJ = 1434515
TS = 335720826, TJ = 5977793
TS = 336417095, TJ = 4941837
TS = 364135003, TJ = 27988772
TS = 412079925, TJ = 44827980
TS = 408586946, TJ = 1127291
TS = 404167152, TJ = 5135132
TS = 875215530, TJ = 43833275
TS = 799149062, TJ = 2021705
TS = 650786577, TJ = 2213413
TS = 651022201, TJ = 856387
TS = 644197823, TJ = 836529
TS = 552440946, TJ = 798833
TS = 469588461, TJ = 954265
TS = 406447099, TJ = 862594
TS = 318959354, TJ = 816083
TS = 199436099, TJ = 874914
TS = 732196, TJ = 663483
TS = 2577413, TJ = 1431123
TS = 3128545, TJ = 903593
TS = 3560140, TJ = 792013
TS = 560590, TJ = 529424
TS = 4610091, TJ = 761889
TS = 6654964, TJ = 2288660
TS = 7818190, TJ = 1784804
TS = 645631, TJ = 610796
TS = 2033022, TJ = 1984879
TS = 625021, TJ = 590508
TS = 6780781, TJ = 729128
TS = 7331374, TJ = 895983
TS = 512799923, TJ = 42176012
TS = 513743435, TJ = 1268262
TS = 514287911, TJ = 854825
TS = 514767775, TJ = 745862
TS = 509325475, TJ = 768021
TS = 528127607, TJ = 25362578
TS = 512810124, TJ = 829082
TS = 512582079, TJ = 774570
TS = 513220930, TJ = 914268
TS = 406667000, TJ = 796382
TS = 7645218, TJ = 984834
TS = 8048256, TJ = 978877
TS = 8589083, TJ = 789861
TS = 5818944, TJ = 5132016
TS = 60243908, TJ = 13993709
TS = 52548873, TJ = 1400780
TS = 53147607, TJ = 865002
TS = 53882808, TJ = 988250
TS = 47117151, TJ = 850970
TS = 47847735, TJ = 956991
TS = 591552509, TJ = 24556154
TS = 592371672, TJ = 1369901
TS = 565102632, TJ = 2116575
TS = 523564565, TJ = 864355
TS = 524116408, TJ = 920384
TS = 524830020, TJ = 964137
TS = 525443720, TJ = 857524
TS = 474276877, TJ = 26346992
TS = 406072747, TJ = 805259
TS = 171373944, TJ = 751641
TS = 33173682, TJ = 31443705
TS = 32962760, TJ = 915686
TS = 33326681, TJ = 787220
TS = 30855904, TJ = 739023
TS = 31400216, TJ = 773038
TS = 15597088, TJ = 15160221
TS = 15955866, TJ = 743518
TS = 16633343, TJ = 925043
TS = 10782619, TJ = 10236008
TS = 10965191, TJ = 4106095
TS = 11588953, TJ = 878166
TS = 996140, TJ = 914665
TS = 336317862, TJ = 28918720
TS = 337057946, TJ = 1222213
TS = 336414322, TJ = 942775
TS = 331257743, TJ = 777449
TS = 331787604, TJ = 823954
TS = 332215212, TJ = 878219
TS = 332764817, TJ = 780739
TS = 273957119, TJ = 780815
TS = 105773637, TJ = 754963
TS = 83373660, TJ = 770114
TS = 28937812, TJ = 24477372
TS = 138852644, TJ = 57655766
TS = 165307164, TJ = 26965146
TS = 195815698, TJ = 18956869
TS = 196524446, TJ = 953664
TS = 221873296, TJ = 25581064
TS = 222589242, TJ = 933716
TS = 223170979, TJ = 854974
TS = 223724049, TJ = 770000
TS = 47553724, TJ = 794592
TS = 48113127, TJ = 838272
TS = 3120222, TJ = 1891586
TS = 4632246, TJ = 1907614
TS = 56727355, TJ = 26583293
