TS = 27450554, TJ = 18036872
TS = 321760545, TJ = 8129996
TS = 245900943, TJ = 2834220
TS = 160293937, TJ = 110064432
TS = 6246192, TJ = 5489266
TS = 7386832, TJ = 908560
TS = 7992323, TJ = 7323946
TS = 8256998, TJ = 3350296
TS = 4050768, TJ = 3375894
TS = 4234269, TJ = 1260860
TS = 17728253, TJ = 16460436
TS = 53392200, TJ = 37615719
TS = 16670352, TJ = 3289062
TS = 40213371, TJ = 24844369
TS = 40791004, TJ = 1019945
TS = 21541299, TJ = 951344
TS = 101426041, TJ = 5932506
TS = 10179268, TJ = 1082487
TS = 11335476, TJ = 847059
TS = 125102962, TJ = 28468787
TS = 40505826, TJ = 14022053
TS = 32238303, TJ = 442975
TS = 34244933, TJ = 8474362
TS = 29450820, TJ = 8514378
TS = 116628620, TJ = 23809573
TS = 8019164, TJ = 6852607
TS = 9186180, TJ = 1103762
TS = 10086081, TJ = 378616
TS = 21963721, TJ = 10896174
TS = 12369899, TJ = 1435705
TS = 16186473, TJ = 4980545
TS = 19201022, TJ = 2929551
TS = 15212579, TJ = 234905
TS = 23831537, TJ = 8286019
TS = 151757418, TJ = 26032169
TS = 37715317, TJ = 8045541
TS = 38051683, TJ = 748559
TS = 49146719, TJ = 233151
TS = 53926496, TJ = 25917791
TS = 55434803, TJ = 4421625
TS = 48625695, TJ = 6323116
TS = 48769111, TJ = 9873884
TS = 35959662, TJ = 6972947
TS = 37363651, TJ = 1434086
TS = 23099738, TJ = 7709482
TS = 39554228, TJ = 19758797
TS = 44070518, TJ = 7629249
TS = 21637902, TJ = 9761840
TS = 19749669, TJ = 781583
TS = 19894381, TJ = 630140
TS = 19302806, TJ = 542125
TS = 43892900, TJ = 1640562
TS = 2155163, TJ = 2091695
TS = 5258687, TJ = 5051074
TS = 6357303, TJ = 991783
TS = 33659584, TJ = 197480
TS = 34842812, TJ = 316734
TS = 33551159, TJ = 321555
TS = 34923447, TJ = 8278180
TS = 32784074, TJ = 7012792
TS = 34812885, TJ = 2512168
TS = 137785735, TJ = 13779146
TS = 24228897, TJ = 2582830
TS = 36370665, TJ = 219157
TS = 40141058, TJ = 177911
TS = 38540800, TJ = 724995
TS = 42547651, TJ = 3370817
TS = 43233370, TJ = 9858861
TS = 44795302, TJ = 655674
TS = 25268058, TJ = 16624878
TS = 27708112, TJ = 618034
TS = 26994719, TJ = 480486
TS = 27239768, TJ = 738525
TS = 163292114, TJ = 31341188
TS = 5941699, TJ = 179888
TS = 12929801, TJ = 197245
TS = 9846225, TJ = 4990231
TS = 6428172, TJ = 1261907
TS = 7126880, TJ = 7057091
TS = 56627200, TJ = 38200325
TS = 66404241, TJ = 190788
TS = 67093044, TJ = 14157054
TS = 60055618, TJ = 7551342
TS = 264054176, TJ = 19610348
TS = 56335289, TJ = 17510469
TS = 55202035, TJ = 2140542
TS = 55077535, TJ = 380099
TS = 268401944, TJ = 19952464
TS = 64043967, TJ = 24639483
TS = 60161466, TJ = 12939708
TS = 51433613, TJ = 11720250
TS = 292052739, TJ = 24250634
TS = 57493635, TJ = 20331149
TS = 56409928, TJ = 186632
TS = 56908754, TJ = 221694
TS = 54218064, TJ = 7397144
TS = 55905784, TJ = 7804923
TS = 48311140, TJ = 14463317
TS = 47288339, TJ = 6157912
TS = 54886598, TJ = 31687609
TS = 59851366, TJ = 210830
TS = 65739241, TJ = 144915
TS = 60774930, TJ = 1143219
TS = 52059162, TJ = 15387377
TS = 58984075, TJ = 13213215
TS = 48331543, TJ = 582439
TS = 48447328, TJ = 8679471
TS = 23926838, TJ = 547274
TS = 2272546, TJ = 2194257
TS = 1712871, TJ = 1654292
TS = 48645245, TJ = 190105
TS = 49540665, TJ = 8239487
TS = 34357366, TJ = 3038598
TS = 36234458, TJ = 940249
TS = 4785813, TJ = 695048
TS = 5747614, TJ = 578351
TS = 5403504, TJ = 517746
TS = 3002589, TJ = 605293
TS = 271913485, TJ = 52047607
TS = 19337939, TJ = 10294405
TS = 20361824, TJ = 1028898
TS = 12324197, TJ = 968173
TS = 1824269, TJ = 1760219
TS = 1487254, TJ = 1440235
TS = 7736556, TJ = 7688017
TS = 2105332, TJ = 2036114
TS = 3069424, TJ = 559161
TS = 269766466, TJ = 57521781
TS = 9439887, TJ = 1805728
TS = 10252345, TJ = 440029
TS = 4506074, TJ = 1406490
TS = 1509478, TJ = 1458895
TS = 1496418, TJ = 1443479
TS = 210995107, TJ = 8212292
TS = 1482128, TJ = 1436947
TS = 2275931, TJ = 2223521
TS = 1728607, TJ = 1666530
TS = 11320500, TJ = 2248668
TS = 23519607, TJ = 12709744
TS = 16367586, TJ = 8283388
TS = 4675758, TJ = 418286
TS = 4172518, TJ = 3639582
